55.153168 /
38.536625 /
10-25 at 14:5:1454.543728 /
10-25 at 14:6:42 = 5.856528
10-25 at 14h7m21s = 9.998439
10-25 at 14h13m30s : 80.915047
10-25 at 14h13m40s : 4.142462
10-25 at 14h22m3s : 34.984936
10-25 at 14h22m13s : 25.205898
10-25 at 14h22m23s : 77.298828
10-25 at 14h22m33s : 54.387962
10-25 at 14h25m19s : 96.343437
10-25 at 14h25m29s : 6.215003
10-25 at 14h25m39s : 9.934611
10-25 at 14h25m49s : 71.999016
10-25 at 14h25m59s : 7.611973
10-25 at 14h26m9s : 54.720158
10-25 at 14h26m19s : 15.251570
10-25 at 14h26m29s : 31.053272
10-25 at 14h26m39s : 98.740540
10-25 at 14h32m34s : 18.372015
10-25 at 14h33m58s : 45.477562
10-25 at 14h34m8s : 33.297890
10-25 at 14h45m22s : 83.466568
10-25 at 14h45m32s : 80.552803
10-25 at 14h45m42s : 88.660728
10-25 at 14h45m52s : 6.900104
10-25 at 14h46m2s : 85.397346
10-25 at 14h46m40s : 50.214279
10-25 at 14h46m50s : 62.174248
10-25 at 14h47m0s : 70.971336
10-25 at 14h48m49s : 52.632313
10-25 at 14h49m40s : 59.898739
10-25 at 15h14m56s : 52.461266
10-25 at 15h15m16s : 85.610405
10-25 at 15h15m36s : 76.059204
10-25 at 15h22m47s : 28.874918
10-25 at 15h22m50s : 58.276398
10-25 at 15h22m53s : 43.390671
10-25 at 15h22m56s : 49.273918
10-25 at 15h22m59s : 96.949425
10-25 at 15h23m2s : 51.366051
10-25 at 15h23m5s : 61.770977
10-25 at 15h23m8s : 93.109009
10-25 at 15h23m11s : 32.124134
10-25 at 15h34m59s : 21.530119
10-25 at 15h35m2s : 46.396416
10-25 at 15h35m5s : 61.030231
10-25 at 15h35m8s : 96.824623
10-25 at 15h35m11s : 78.558151
10-25 at 15h35m14s : 93.529793
10-25 at 15h35m17s : 35.048122
10-25 at 15h35m20s : 48.437302
10-25 at 15h35m23s : 81.760269
10-25 at 15h35m26s : 22.205717
10-25 at 15h35m29s : 26.992937
10-25 at 15h35m32s : 37.604790
10-25 at 15h35m35s : 79.433594
10-25 at 15h35m38s : 73.271553
10-25 at 15h35m41s : 94.989868
10-25 at 15h38m1s : 64.163002
10-25 at 15h56m56s : 10.169546
10-25 at 15h56m59s : 21.753471
10-25 at 15h57m2s : 74.883522
3-12 at 11h48m37s : 54.192150
3-12 at 11h48m40s : 35.603718
3-12 at 11h48m43s : 37.482773
3-12 at 11h48m46s : 64.215836
3-12 at 11h48m49s : 21.729984
3-12 at 11h48m52s : 71.155083
3-12 at 11h48m55s : 21.274298
3-12 at 11h48m58s : 88.159058
