0 /
0 /
10-25 at 14:5:141 /
10-25 at 14:6:42 = 1
10-25 at 14h7m21s = 0
10-25 at 14h13m30s : 0
10-25 at 14h13m35s : 1
10-25 at 14h13m40s : 0
10-25 at 14h13m45s : 1
10-25 at 14h22m3s : 0
10-25 at 14h22m8s : 1
10-25 at 14h22m13s : 1
10-25 at 14h22m18s : 1
10-25 at 14h22m23s : 1
10-25 at 14h22m28s : 0
10-25 at 14h22m33s : 1
10-25 at 14h22m38s : 0
10-25 at 14h25m19s : 0
10-25 at 14h25m24s : 1
10-25 at 14h25m29s : 1
10-25 at 14h25m34s : 0
10-25 at 14h25m39s : 1
10-25 at 14h25m44s : 1
10-25 at 14h25m49s : 0
10-25 at 14h25m54s : 1
10-25 at 14h25m59s : 0
10-25 at 14h26m4s : 1
10-25 at 14h26m9s : 0
10-25 at 14h26m14s : 0
10-25 at 14h26m19s : 1
10-25 at 14h26m24s : 0
10-25 at 14h26m29s : 0
10-25 at 14h26m34s : 1
10-25 at 14h26m39s : 1
10-25 at 14h32m34s : 0
10-25 at 14h32m39s : 1
10-25 at 14h33m58s : 0
10-25 at 14h34m3s : 1
10-25 at 14h34m8s : 0
10-25 at 14h34m13s : 0
10-25 at 14h45m22s : 0
10-25 at 14h45m27s : 0
10-25 at 14h45m32s : 1
10-25 at 14h45m37s : 1
10-25 at 14h45m42s : 1
10-25 at 14h45m47s : 1
10-25 at 14h45m52s : 1
10-25 at 14h45m57s : 0
10-25 at 14h46m2s : 1
10-25 at 14h46m7s : 0
10-25 at 14h46m35s : 1
10-25 at 14h46m40s : 1
10-25 at 14h46m45s : 1
10-25 at 14h46m50s : 1
10-25 at 14h46m55s : 1
10-25 at 14h47m0s : 0
10-25 at 14h48m44s : 0
10-25 at 14h48m49s : 0
10-25 at 14h48m54s : 1
10-25 at 14h49m35s : 0
10-25 at 14h49m40s : 1
10-25 at 14h49m45s : 1
10-25 at 15h14m51s : 0
10-25 at 15h15m6s : 0
10-25 at 15h15m21s : 1
10-25 at 15h15m36s : 1
10-25 at 15h22m52s : 1
10-25 at 15h23m0s : 0
10-25 at 15h23m8s : 1
10-25 at 15h35m4s : 1
10-25 at 15h35m12s : 0
10-25 at 15h35m20s : 1
10-25 at 15h35m28s : 1
10-25 at 15h35m36s : 1
10-25 at 15h37m41s : 1
10-25 at 15h38m11s : 1
10-25 at 15h57m1s : 1
3-12 at 11h48m42s : 0
3-12 at 11h48m50s : 0
3-12 at 11h48m58s : 1
