76 /
51 /
10-25 at 14:5:1474 /
10-25 at 14:6:42 = 44
10-25 at 14h7m21s = 49
10-25 at 14h13m30s : 46
10-25 at 14h13m38s : 80
10-25 at 14h13m46s : 70
10-25 at 14h22m3s : 10
10-25 at 14h22m11s : 91
10-25 at 14h22m19s : 35
10-25 at 14h22m27s : 35
10-25 at 14h22m35s : 34
10-25 at 14h25m19s : 17
10-25 at 14h25m27s : 67
10-25 at 14h25m35s : 82
10-25 at 14h25m43s : 1
10-25 at 14h25m51s : 31
10-25 at 14h25m59s : 94
10-25 at 14h26m7s : 12
10-25 at 14h26m15s : 6
10-25 at 14h26m23s : 90
10-25 at 14h26m31s : 16
10-25 at 14h26m39s : 35
10-25 at 14h32m34s : 52
10-25 at 14h32m42s : 56
10-25 at 14h33m58s : 72
10-25 at 14h34m6s : 82
10-25 at 14h34m14s : 30
10-25 at 14h45m22s : 52
10-25 at 14h45m30s : 17
10-25 at 14h45m38s : 66
10-25 at 14h45m46s : 47
10-25 at 14h45m54s : 49
10-25 at 14h46m2s : 54
10-25 at 14h46m38s : 50
10-25 at 14h46m46s : 36
10-25 at 14h46m54s : 8
10-25 at 14h48m47s : 86
10-25 at 14h49m38s : 52
10-25 at 14h49m46s : 6
10-25 at 15h14m46s : 26
10-25 at 15h14m56s : 61
10-25 at 15h15m6s : 26
10-25 at 15h15m16s : 44
10-25 at 15h15m26s : 52
10-25 at 15h15m36s : 26
10-25 at 15h22m50s : 10
10-25 at 15h22m56s : 8
10-25 at 15h23m2s : 83
10-25 at 15h23m8s : 75
10-25 at 15h35m2s : 54
10-25 at 15h35m8s : 16
10-25 at 15h35m14s : 80
10-25 at 15h35m20s : 88
10-25 at 15h35m26s : 4
10-25 at 15h35m32s : 17
10-25 at 15h35m38s : 1
10-25 at 15h38m11s : 73
10-25 at 15h56m59s : 5
3-12 at 11h48m40s : 18
3-12 at 11h48m46s : 7
3-12 at 11h48m52s : 11
3-12 at 11h48m58s : 65
