-5.535802 /
-0.291632 /
10-25 at 14:5:142.802364 /
10-25 at 14:6:42 = 13.026758
10-25 at 14h7m21s = 11.828087
10-25 at 14h13m30s : 26.637918
10-25 at 14h13m42s : -12.146421
10-25 at 14h22m3s : 29.409491
10-25 at 14h22m15s : -3.599949
10-25 at 14h22m27s : 33.210190
10-25 at 14h25m19s : 9.629113
10-25 at 14h25m31s : 11.042868
10-25 at 14h25m43s : 29.022427
10-25 at 14h25m55s : -17.206011
10-25 at 14h26m7s : -5.744774
10-25 at 14h26m19s : 31.234705
10-25 at 14h26m31s : -14.034115
10-25 at 14h32m34s : 12.261710
10-25 at 14h33m58s : 28.203709
10-25 at 14h34m10s : -14.141394
10-25 at 14h45m22s : -13.405159
10-25 at 14h45m34s : 9.295450
10-25 at 14h45m46s : 21.333641
10-25 at 14h45m58s : -5.607541
10-25 at 14h46m42s : 33.408958
10-25 at 14h46m54s : 8.914994
10-25 at 14h48m51s : 15.882664
10-25 at 14h49m42s : 7.806277
10-25 at 15h14m41s : 26.106194
10-25 at 15h14m46s : 5.432244
10-25 at 15h14m51s : 12.713094
10-25 at 15h14m56s : -14.288556
10-25 at 15h15m1s : 17.079498
10-25 at 15h15m6s : -10.149145
10-25 at 15h15m11s : 15.326606
10-25 at 15h15m16s : -18.342049
10-25 at 15h15m21s : 8.160203
10-25 at 15h15m26s : 28.378109
10-25 at 15h15m31s : 3.790075
10-25 at 15h15m36s : -15.757363
10-25 at 15h22m49s : 2.408816
10-25 at 15h22m54s : 35.644039
10-25 at 15h22m59s : 24.631268
10-25 at 15h23m4s : -14.186980
10-25 at 15h23m9s : -15.423785
10-25 at 15h35m1s : 27.815651
10-25 at 15h35m6s : 0.697818
10-25 at 15h35m11s : 0.830590
10-25 at 15h35m16s : 35.238468
10-25 at 15h35m21s : -10.906756
10-25 at 15h35m26s : 32.360504
10-25 at 15h35m31s : 1.216248
10-25 at 15h35m36s : 35.996300
10-25 at 15h35m41s : 8.169317
10-25 at 15h37m21s : 25.341986
10-25 at 15h37m31s : 1.846918
10-25 at 15h37m41s : 19.532564
10-25 at 15h37m51s : 7.296217
10-25 at 15h38m1s : 14.768328
10-25 at 15h38m11s : 16.618258
10-25 at 15h56m58s : -7.148654
10-25 at 15h57m3s : 34.645802
3-12 at 11h48m39s : 32.721813
3-12 at 11h48m44s : -11.456408
3-12 at 11h48m49s : 30.687845
3-12 at 11h48m54s : -0.546932
3-12 at 11h48m59s : -13.185472
